Title,Price,Old Price,Link,Category,Store
ASUS PRIME B760M-K,"6,599 Ден.","7,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b760m-k34873,Motherboard,Setec
ASUS Pro B560M-C / CSM,"6,799 Ден.","6,899 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-pro-b560m-c-csm27881,Motherboard,Setec
ASUS PRIME B650M-R,"6,899 Ден.","7,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=61094,Motherboard,Setec
ASUS PRIME B660M-A D4-CSM,"6,999 Ден.","7,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b660m-a-d4-csm33885,Motherboard,Setec
ASUS TUF GAMING B550M-E,"7,399 Ден.","7,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=58486,Motherboard,Setec
ASUS TUF GAMING B550M-PLUS,"7,399 Ден.","8,399 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b550m-plus24882,Motherboard,Setec
ASUS TUF GAMING B550-PLUS,"7,999 Ден.","8,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b550-plus24866,Motherboard,Setec
ASUS PRIME B550-PLUS,"8,199 Ден.","8,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b550-plus24883,Motherboard,Setec
ASUS PRIME B660-PLUS D4,"8,199 Ден.","10,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b660-plus-d432781,Motherboard,Setec
ASUS PRIME B660M-A WIFI D4,"8,599 Ден.","9,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b660m-a-wifi-d432780,Motherboard,Setec
ASUS PRIME B650M-K,"8,899 Ден.","9,499 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b650m-k34875,Motherboard,Setec
ASUS TUF GAMING B760-PLUS D4,"8,899 Ден.","9,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-tuf-gaming-b760-plus-d433750,Motherboard,Setec
ASUS PRIME B650M-A II-CSM,"8,999 Ден.","9,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b650m-a-ii-csm34874,Motherboard,Setec
ASUS PRIME B760M-A-CSM,"8,999 Ден.","9,999 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи/asus-prime-b760m-a-csm34872,Motherboard,Setec
ASUS TUF-GAMING-B550M-PLUS-WI-FI II,"8,999 Ден.","9,199 Ден.",https://setec.mk/компјутери-и-it-опрема/компјутери-и-компјутерски-делови/матични-плочи?product_id=30845,Motherboard,Setec
