Title,Manufacturer,Price,Code,Warranty,Link,Category,Description,Image,Store
MSI PRO Z690-A - Intel Z690,MSI,14390, , ,https://gjirafa50.mk/matichna-plocha-msi-pro-z690-a-intel-z690br-,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e8859802-8d1b-450e-b93b-c1031a305255/e8859802-8d1b-450e-b93b-c1031a305255.jpeg?w=190,Zhirafa50
"ASRock B760 PRO RS WIFI , Socket 1700, DDR5, PCIe 5.0, WiFi 6E, црна боја",ASRock,9190, , ,https://gjirafa50.mk/pllake-ame-asrock-b760-pro-rs-wifi-socket-1700-ddr5-pcie-50-wifi-6e-e-zeze,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/590fde4d-4f0f-4ef8-85e5-d329963b2a80/590fde4d-4f0f-4ef8-85e5-d329963b2a80.jpeg?w=190,Zhirafa50
"MSI B760M PROJECT ZERO, LGA 1700, DDR5, PCIe 5.0, 2.5Gbps LAN, Wi-Fi 6E, бела/сребрена боја",MSI,10990, , ,https://gjirafa50.mk/plake-ame-msi-b760m-project-zero-lga-1700-ddr5-pcie-50-25gbps-lan-wi-fi-6e-e-bardheargjend,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/2cda701d-f29f-4f4a-8809-0868a7c8f4e0/2cda701d-f29f-4f4a-8809-0868a7c8f4e0.jpeg?w=190,Zhirafa50
"ASRock B760M-HDV/M.2, Intel B760, Micro ATX",ASRock,5990, , ,https://gjirafa50.mk/pllake-ame-asrock-b760m-hdvm2-intel-b760-micro-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/771cdb2e-f894-4b34-a183-dce89d92c659/771cdb2e-f894-4b34-a183-dce89d92c659.jpeg?w=190,Zhirafa50
"ASRock E3C246D4I-2T, mini-ITX, Socket 1151, Intel C246, црна",ASRock,61990, , ,https://gjirafa50.mk/pllake-ame-asrock-e3c246d4i-2t-mini-itx-socket-1151-intel-c246-e-zeze,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/7f010f77-9c84-4b09-8189-e80b55443979/7f010f77-9c84-4b09-8189-e80b55443979.jpeg?w=190,Zhirafa50
ASRock B650D4U,ASRock,25990, , ,https://gjirafa50.mk/pllake-ame-asrock-b650d4u,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/f41fd019-52ed-4589-bfee-243cf78b4f29/f41fd019-52ed-4589-bfee-243cf78b4f29.jpeg?w=190,Zhirafa50
MSI PRO H610M-E,MSI,5190, , ,https://gjirafa50.mk/pllake-ame-msi-pro-h610m-e,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/5bdbfd2b-8ce9-484d-aa4d-2d703ed1792f/5bdbfd2b-8ce9-484d-aa4d-2d703ed1792f.jpeg?w=190,Zhirafa50
MSI PRO H610M-G,MSI,5690, , ,https://gjirafa50.mk/pllake-ame-msi-pro-h610m-g,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/f90f4540-1a59-4f82-b569-aeed3f1c4981/f90f4540-1a59-4f82-b569-aeed3f1c4981.jpeg?w=190,Zhirafa50
për serverë Intel Y Intel Serverbarebone M50FCP1UR212,Intel,179990, , ,https://gjirafa50.mk/pllake-ame-per-servere-intel-y-intel-serverbarebone-m50fcp1ur212,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/5c4c9547-40b9-49c3-9596-376176ad3c23/5c4c9547-40b9-49c3-9596-376176ad3c23.jpeg?w=190,Zhirafa50
Pllakë Amë Gigabyte B760M GAMING X AX,Gigabyte,9190, , ,https://gjirafa50.mk/pllake-ame-gigabyte-b760m-gaming-x-ax,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/fd2644a2-7c9d-49f2-b93f-700188f8ff29/fd2644a2-7c9d-49f2-b93f-700188f8ff29.jpeg?w=190,Zhirafa50
"ASUS Prime H510M-R, OEM",ASUS,5590, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h510m-r-oem,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/77d780c4-c3be-4c5c-9c46-c813ad636329/77d780c4-c3be-4c5c-9c46-c813ad636329.jpeg?w=190,Zhirafa50
Pllakë Amë Asus PRO A620M-C-CSM, ,7690, , ,https://gjirafa50.mk/pllake-ame-asus-pro-a620m-c-csm,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e48e0eb5-2684-4005-b4df-59cde72aaf16/e48e0eb5-2684-4005-b4df-59cde72aaf16.jpeg?w=190,Zhirafa50
ASRock B760M-H2/M.2,ASRock,6290, , ,https://gjirafa50.mk/pllake-ame-asrock-b760m-h2m2-3,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e75588f6-7395-4368-93aa-e799e22e49ca/e75588f6-7395-4368-93aa-e799e22e49ca.jpeg?w=190,Zhirafa50
Pllakë Amë Asus PRIME B450-PLUS, ,6090, , ,https://gjirafa50.mk/pllake-ame-asus-prime-b450-plus,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/8f6f7a78-02ae-4a13-a070-7eacb831160e/8f6f7a78-02ae-4a13-a070-7eacb831160e.jpeg?w=190,Zhirafa50
Asus TUF Gaming B760-Plus Wi-Fi D4, ,9290, , ,https://gjirafa50.mk/pllake-ame-asus-tuf-gaming-b760-plus-wi-fi-d4,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/d405f530-2f73-4fe0-9de2-c60349291481/d405f530-2f73-4fe0-9de2-c60349291481.jpeg?w=190,Zhirafa50
Asus PRIME H610M-D, ,7090, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h610m-d,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/4ea73f8c-bb9f-4c9f-9fdd-a789e9a98039/4ea73f8c-bb9f-4c9f-9fdd-a789e9a98039.jpeg?w=190,Zhirafa50
Asus PRIME H610M-K D4 ARGB, ,6690, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h610m-k-d4-argb,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e513bfb1-2a80-4fe7-86cd-ad40821a1f14/e513bfb1-2a80-4fe7-86cd-ad40821a1f14.jpeg?w=190,Zhirafa50
Gigabyte Z790 D AX,Gigabyte,10990, , ,https://gjirafa50.mk/pllake-ame-gigabyte-z790-d-ax,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e351dd2c-e2ea-4716-b637-e2b45599f4ca/e351dd2c-e2ea-4716-b637-e2b45599f4ca.jpeg?w=190,Zhirafa50
Pllakë Amë Asus ProArt B660-CREATOR D4, ,16990, , ,https://gjirafa50.mk/pllake-ame-asus-proart-b660-creator-d4,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/0bc2e594-c14b-4f0b-8f88-68851e399383/0bc2e594-c14b-4f0b-8f88-68851e399383.jpeg?w=190,Zhirafa50
MSI B760 GAMING PLUS WIFI DDR4,MSI,11990, , ,https://gjirafa50.mk/pllake-ame-msi-b760-gaming-plus-wifi-ddr4,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/e90ab34a-7cee-4560-a764-b59d1a85920b/e90ab34a-7cee-4560-a764-b59d1a85920b.jpeg?w=190,Zhirafa50
Asus PRIME A520M-R, ,3390, , ,https://gjirafa50.mk/pllake-ame-asus-prime-a520m-r,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/18ea3df9-87c4-4e6e-a9be-73d82eda4c4d/18ea3df9-87c4-4e6e-a9be-73d82eda4c4d.jpeg?w=190,Zhirafa50
Pllakë Amë Asus PRIME H610M-A WIFI, ,6690, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h610m-a-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/3fcb13ee-4312-463d-a60b-f0cd3cfda36b/3fcb13ee-4312-463d-a60b-f0cd3cfda36b.jpeg?w=190,Zhirafa50
"Asus PRO H610M-C-CSM, 64GB", ,8090, , ,https://gjirafa50.mk/pllake-ame-asus-pro-h610m-c-csm-64gb,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/812658b2-5d0e-41e5-b7e1-d551b2090b2d/812658b2-5d0e-41e5-b7e1-d551b2090b2d.jpeg?w=190,Zhirafa50
Gigabyte B760M DS3H AX DDR4,Gigabyte,7790, , ,https://gjirafa50.mk/pllake-ame-gigabyte-b760m-ds3h-ax-ddr4-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/9a064b46-f076-4c51-b61b-056e60ac7344/9a064b46-f076-4c51-b61b-056e60ac7344.jpeg?w=190,Zhirafa50
